Date,EUtranCell,PSData,Users,Vendor,region,PID
2019-01-03,LM1043018F1A,45.1,48.709,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-03,LM1043018F1B,4.49,6.05,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-04,LM0136008F1A,0.77,0.54,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-04,LM0136008F1B,2.17,1.086,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-04,LM0136018F1C,2.53,3.835,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-04,LM0140008F1B,0.51,0.346,Huawei,SQU (Sultan Qaboos University),M0140
2019-01-04,LM0145008F1A,0.08,0.105,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-04,LM0145018F1A,0.19,1.097,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-04,LM0145018F1B,0.4,0.778,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-04,LM0145018F1C,0.37,0.399,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-04,LM0145026F1B,0.69,0.913,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-04,LM0150008F1C,5.5,3.046,Huawei,SQU (Sultan Qaboos University),M0150
2019-01-04,LM0151008F1A,1.13,0.348,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-04,LM0151008F1B,0.02,0.015,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-04,LM0151018F1A,8.47,8.903,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-04,LM0151018F1B,0.86,0.804,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-04,LM0151018F1C,17.43,12.731,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-04,LM0387008F1A,0.82,1.644,Huawei, Royal Hospital (IBS),M0387
2019-01-04,LM0387008F1C,0.1,0.161,Huawei, Royal Hospital (IBS),M0387
2019-01-04,LM0387018F1B,37.58,28.117,Huawei, Royal Hospital (IBS),M0387
2019-01-04,LM1043018F1A,18.51,18.761,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-04,LM1043018F1B,1.11,1.559,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-05,LM0136008F1A,0.58,0.726,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-05,LM0136008F1B,1.51,0.778,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-05,LM0136018F1C,5.74,5.288,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-05,LM0140008F1B,0.42,0.426,Huawei,SQU (Sultan Qaboos University),M0140
2019-01-05,LM0145008F1A,0.07,0.119,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-05,LM0145018F1A,0.6,1.082,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-05,LM0145018F1B,0.3,0.807,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-05,LM0145018F1C,0.21,0.551,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-05,LM0145026F1B,1.31,0.722,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-05,LM0150008F1C,3.96,3.026,Huawei,SQU (Sultan Qaboos University),M0150
2019-01-05,LM0151008F1A,0.86,0.409,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-05,LM0151008F1B,0.0,0.027,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-05,LM0151018F1A,12.54,10.055,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-05,LM0151018F1B,1.65,1.735,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-05,LM0151018F1C,15.34,12.934,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-05,LM0387008F1A,4.83,1.438,Huawei, Royal Hospital (IBS),M0387
2019-01-05,LM0387008F1C,0.14,0.204,Huawei, Royal Hospital (IBS),M0387
2019-01-05,LM0387018F1B,47.25,33.582,Huawei, Royal Hospital (IBS),M0387
2019-01-05,LM1043018F1A,21.91,23.353,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-05,LM1043018F1B,1.04,1.294,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-06,LM0136008F1A,2.23,2.426,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-06,LM0136008F1B,1.07,1.521,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-06,LM0136018F1C,8.42,9.67,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-06,LM0140008F1B,2.91,2.439,Huawei,SQU (Sultan Qaboos University),M0140
2019-01-06,LM0145008F1A,1.22,1.795,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-06,LM0145018F1A,2.58,4.145,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-06,LM0145018F1B,1.52,2.612,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-06,LM0145018F1C,2.56,2.274,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-06,LM0145026F1B,3.7,5.227,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-06,LM0150008F1C,9.17,7.428,Huawei,SQU (Sultan Qaboos University),M0150
2019-01-06,LM0151008F1A,1.95,1.023,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-06,LM0151008F1B,0.27,0.547,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-06,LM0151018F1A,11.32,14.581,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-06,LM0151018F1B,6.51,9.046,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-06,LM0151018F1C,18.1,20.709,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-06,LM0387008F1A,2.1,2.037,Huawei, Royal Hospital (IBS),M0387
2019-01-06,LM0387008F1C,1.16,0.517,Huawei, Royal Hospital (IBS),M0387
2019-01-06,LM0387018F1B,70.77,62.301,Huawei, Royal Hospital (IBS),M0387
